mes,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
01,1-10,176,,,,,,,,,,
01,11-20,57,,,,,,,,,,
01,21-30,16,,,,,,,,,,
01,31-40,1,,,,,,,,,,
02,1-10,157,,,,,,,,,,
02,11-20,63,,,,,,,,,,
02,21-30,14,,,,,,,,,,
03,1-10,187,,,,,,,,,,
03,11-20,54,,,,,,,,,,
03,21-30,17,,,,,,,,,,
03,31-40,2,,,,,,,,,,
03,41-50,1,,,,,,,,,,
04,1-10,182,,,,,,,,,,
04,11-20,55,,,,,,,,,,
04,21-30,12,,,,,,,,,,
04,31-40,5,,,,,,,,,,
05,1-10,177,,,,,,,,,,
05,11-20,57,,,,,,,,,,
05,21-30,15,,,,,,,,,,
05,31-40,2,,,,,,,,,,
06,1-10,163,,,,,,,,,,
06,11-20,61,,,,,,,,,,
06,21-30,15,,,,,,,,,,
06,31-40,2,,,,,,,,,,
06,41-50,1,,,,,,,,,,
07,1-10,164,,,,,,,,,,
07,11-20,70,,,,,,,,,,
07,21-30,17,,,,,,,,,,
07,31-40,3,,,,,,,,,,
07,41-50,2,,,,,,,,,,
08,1-10,190,,,,,,,,,,
08,11-20,53,,,,,,,,,,
08,21-30,20,,,,,,,,,,
08,31-40,3,,,,,,,,,,
08,41-50,1,,,,,,,,,,
09,1-10,186,,,,,,,,,,
09,11-20,49,,,,,,,,,,
09,21-30,14,,,,,,,,,,
09,31-40,2,,,,,,,,,,
10,1-10,187,,,,,,,,,,
10,11-20,58,,,,,,,,,,
10,21-30,14,,,,,,,,,,
10,31-40,1,,,,,,,,,,
11,1-10,179,,,,,,,,,,
11,11-20,51,,,,,,,,,,
11,21-30,16,,,,,,,,,,
12,1-10,161,,,,,,,,,,
12,11-20,54,,,,,,,,,,
12,21-30,14,,,,,,,,,,
12,31-40,3,,,,,,,,,,
01,,,1-10,54,,,,,,,,
01,,,11-20,115,,,,,,,,
01,,,21-30,56,,,,,,,,
01,,,31-40,22,,,,,,,,
01,,,41-50,3,,,,,,,,
02,,,1-10,69,,,,,,,,
02,,,11-20,91,,,,,,,,
02,,,21-30,54,,,,,,,,
02,,,31-40,20,,,,,,,,
03,,,1-10,73,,,,,,,,
03,,,11-20,106,,,,,,,,
03,,,21-30,57,,,,,,,,
03,,,31-40,16,,,,,,,,
03,,,41-50,9,,,,,,,,
04,,,1-10,64,,,,,,,,
04,,,11-20,110,,,,,,,,
04,,,21-30,59,,,,,,,,
04,,,31-40,20,,,,,,,,
04,,,41-50,1,,,,,,,,
05,,,1-10,67,,,,,,,,
05,,,11-20,100,,,,,,,,
05,,,21-30,70,,,,,,,,
05,,,31-40,12,,,,,,,,
05,,,41-50,2,,,,,,,,
06,,,1-10,65,,,,,,,,
06,,,11-20,105,,,,,,,,
06,,,21-30,44,,,,,,,,
06,,,31-40,24,,,,,,,,
06,,,41-50,3,,,,,,,,
06,,,51-60,1,,,,,,,,
07,,,1-10,58,,,,,,,,
07,,,11-20,97,,,,,,,,
07,,,21-30,71,,,,,,,,
07,,,31-40,26,,,,,,,,
07,,,41-50,4,,,,,,,,
08,,,1-10,72,,,,,,,,
08,,,11-20,98,,,,,,,,
08,,,21-30,64,,,,,,,,
08,,,31-40,27,,,,,,,,
08,,,41-50,6,,,,,,,,
09,,,1-10,67,,,,,,,,
09,,,11-20,108,,,,,,,,
09,,,21-30,63,,,,,,,,
09,,,31-40,11,,,,,,,,
09,,,41-50,2,,,,,,,,
10,,,1-10,60,,,,,,,,
10,,,11-20,120,,,,,,,,
10,,,21-30,57,,,,,,,,
10,,,31-40,21,,,,,,,,
10,,,41-50,2,,,,,,,,
11,,,1-10,63,,,,,,,,
11,,,11-20,91,,,,,,,,
11,,,21-30,69,,,,,,,,
11,,,31-40,19,,,,,,,,
11,,,41-50,4,,,,,,,,
12,,,1-10,62,,,,,,,,
12,,,11-20,83,,,,,,,,
12,,,21-30,62,,,,,,,,
12,,,31-40,25,,,,,,,,
01,,,,,1-10,8,,,,,,
01,,,,,11-20,63,,,,,,
01,,,,,21-30,96,,,,,,
01,,,,,31-40,61,,,,,,
01,,,,,41-50,20,,,,,,
01,,,,,51-60,2,,,,,,
02,,,,,1-10,14,,,,,,
02,,,,,11-20,63,,,,,,
02,,,,,21-30,72,,,,,,
02,,,,,31-40,55,,,,,,
02,,,,,41-50,29,,,,,,
02,,,,,51-60,1,,,,,,
03,,,,,1-10,15,,,,,,
03,,,,,11-20,70,,,,,,
03,,,,,21-30,79,,,,,,
03,,,,,31-40,66,,,,,,
03,,,,,41-50,30,,,,,,
03,,,,,51-60,1,,,,,,
04,,,,,1-10,8,,,,,,
04,,,,,11-20,65,,,,,,
04,,,,,21-30,90,,,,,,
04,,,,,31-40,70,,,,,,
04,,,,,41-50,19,,,,,,
04,,,,,51-60,2,,,,,,
05,,,,,1-10,13,,,,,,
05,,,,,11-20,61,,,,,,
05,,,,,21-30,98,,,,,,
05,,,,,31-40,62,,,,,,
05,,,,,41-50,15,,,,,,
05,,,,,51-60,2,,,,,,
06,,,,,1-10,13,,,,,,
06,,,,,11-20,68,,,,,,
06,,,,,21-30,77,,,,,,
06,,,,,31-40,59,,,,,,
06,,,,,41-50,23,,,,,,
06,,,,,51-60,2,,,,,,
07,,,,,1-10,6,,,,,,
07,,,,,11-20,70,,,,,,
07,,,,,21-30,87,,,,,,
07,,,,,31-40,72,,,,,,
07,,,,,41-50,21,,,,,,
08,,,,,1-10,14,,,,,,
08,,,,,11-20,71,,,,,,
08,,,,,21-30,85,,,,,,
08,,,,,31-40,74,,,,,,
08,,,,,41-50,22,,,,,,
08,,,,,51-60,1,,,,,,
09,,,,,1-10,14,,,,,,
09,,,,,11-20,65,,,,,,
09,,,,,21-30,89,,,,,,
09,,,,,31-40,65,,,,,,
09,,,,,41-50,17,,,,,,
09,,,,,51-60,1,,,,,,
10,,,,,1-10,12,,,,,,
10,,,,,11-20,70,,,,,,
10,,,,,21-30,97,,,,,,
10,,,,,31-40,63,,,,,,
10,,,,,41-50,18,,,,,,
11,,,,,1-10,13,,,,,,
11,,,,,11-20,57,,,,,,
11,,,,,21-30,95,,,,,,
11,,,,,31-40,62,,,,,,
11,,,,,41-50,16,,,,,,
11,,,,,51-60,3,,,,,,
12,,,,,1-10,12,,,,,,
12,,,,,11-20,64,,,,,,
12,,,,,21-30,72,,,,,,
12,,,,,31-40,65,,,,,,
12,,,,,41-50,19,,,,,,
01,,,,,,,1-10,2,,,,
01,,,,,,,11-20,17,,,,
01,,,,,,,21-30,63,,,,
01,,,,,,,31-40,84,,,,
01,,,,,,,41-50,73,,,,
01,,,,,,,51-60,11,,,,
02,,,,,,,1-10,1,,,,
02,,,,,,,11-20,26,,,,
02,,,,,,,21-30,53,,,,
02,,,,,,,31-40,71,,,,
02,,,,,,,41-50,66,,,,
02,,,,,,,51-60,17,,,,
03,,,,,,,1-10,2,,,,
03,,,,,,,11-20,25,,,,
03,,,,,,,21-30,57,,,,
03,,,,,,,31-40,88,,,,
03,,,,,,,41-50,70,,,,
03,,,,,,,51-60,19,,,,
04,,,,,,,11-20,21,,,,
04,,,,,,,21-30,61,,,,
04,,,,,,,31-40,91,,,,
04,,,,,,,41-50,66,,,,
04,,,,,,,51-60,15,,,,
05,,,,,,,1-10,1,,,,
05,,,,,,,11-20,27,,,,
05,,,,,,,21-30,60,,,,
05,,,,,,,31-40,96,,,,
05,,,,,,,41-50,54,,,,
05,,,,,,,51-60,13,,,,
06,,,,,,,1-10,3,,,,
06,,,,,,,11-20,15,,,,
06,,,,,,,21-30,64,,,,
06,,,,,,,31-40,94,,,,
06,,,,,,,41-50,51,,,,
06,,,,,,,51-60,15,,,,
07,,,,,,,11-20,18,,,,
07,,,,,,,21-30,55,,,,
07,,,,,,,31-40,91,,,,
07,,,,,,,41-50,76,,,,
07,,,,,,,51-60,16,,,,
08,,,,,,,1-10,1,,,,
08,,,,,,,11-20,18,,,,
08,,,,,,,21-30,59,,,,
08,,,,,,,31-40,105,,,,
08,,,,,,,41-50,71,,,,
08,,,,,,,51-60,13,,,,
09,,,,,,,1-10,1,,,,
09,,,,,,,11-20,19,,,,
09,,,,,,,21-30,55,,,,
09,,,,,,,31-40,110,,,,
09,,,,,,,41-50,53,,,,
09,,,,,,,51-60,13,,,,
10,,,,,,,11-20,19,,,,
10,,,,,,,21-30,65,,,,
10,,,,,,,31-40,100,,,,
10,,,,,,,41-50,68,,,,
10,,,,,,,51-60,8,,,,
11,,,,,,,1-10,2,,,,
11,,,,,,,11-20,19,,,,
11,,,,,,,21-30,51,,,,
11,,,,,,,31-40,99,,,,
11,,,,,,,41-50,62,,,,
11,,,,,,,51-60,13,,,,
12,,,,,,,1-10,1,,,,
12,,,,,,,11-20,14,,,,
12,,,,,,,21-30,56,,,,
12,,,,,,,31-40,91,,,,
12,,,,,,,41-50,59,,,,
12,,,,,,,51-60,11,,,,
01,,,,,,,,,11-20,3,,
01,,,,,,,,,21-30,14,,
01,,,,,,,,,31-40,60,,
01,,,,,,,,,41-50,105,,
01,,,,,,,,,51-60,68,,
02,,,,,,,,,11-20,4,,
02,,,,,,,,,21-30,20,,
02,,,,,,,,,31-40,48,,
02,,,,,,,,,41-50,87,,
02,,,,,,,,,51-60,75,,
03,,,,,,,,,11-20,4,,
03,,,,,,,,,21-30,19,,
03,,,,,,,,,31-40,65,,
03,,,,,,,,,41-50,102,,
03,,,,,,,,,51-60,71,,
04,,,,,,,,,11-20,3,,
04,,,,,,,,,21-30,21,,
04,,,,,,,,,31-40,59,,
04,,,,,,,,,41-50,105,,
04,,,,,,,,,51-60,66,,
05,,,,,,,,,11-20,5,,
05,,,,,,,,,21-30,25,,
05,,,,,,,,,31-40,63,,
05,,,,,,,,,41-50,100,,
05,,,,,,,,,51-60,58,,
06,,,,,,,,,11-20,3,,
06,,,,,,,,,21-30,18,,
06,,,,,,,,,31-40,62,,
06,,,,,,,,,41-50,98,,
06,,,,,,,,,51-60,61,,
07,,,,,,,,,11-20,2,,
07,,,,,,,,,21-30,18,,
07,,,,,,,,,31-40,63,,
07,,,,,,,,,41-50,96,,
07,,,,,,,,,51-60,77,,
08,,,,,,,,,11-20,1,,
08,,,,,,,,,21-30,22,,
08,,,,,,,,,31-40,56,,
08,,,,,,,,,41-50,129,,
08,,,,,,,,,51-60,59,,
09,,,,,,,,,21-30,20,,
09,,,,,,,,,31-40,57,,
09,,,,,,,,,41-50,106,,
09,,,,,,,,,51-60,68,,
10,,,,,,,,,11-20,3,,
10,,,,,,,,,21-30,29,,
10,,,,,,,,,31-40,64,,
10,,,,,,,,,41-50,107,,
10,,,,,,,,,51-60,57,,
11,,,,,,,,,11-20,3,,
11,,,,,,,,,21-30,19,,
11,,,,,,,,,31-40,68,,
11,,,,,,,,,41-50,90,,
11,,,,,,,,,51-60,66,,
12,,,,,,,,,11-20,2,,
12,,,,,,,,,21-30,16,,
12,,,,,,,,,31-40,65,,
12,,,,,,,,,41-50,96,,
12,,,,,,,,,51-60,53,,
01,,,,,,,,,,,21-30,2
01,,,,,,,,,,,31-40,13
01,,,,,,,,,,,41-50,69
01,,,,,,,,,,,51-60,166
02,,,,,,,,,,,21-30,3
02,,,,,,,,,,,31-40,15
02,,,,,,,,,,,41-50,57
02,,,,,,,,,,,51-60,159
03,,,,,,,,,,,21-30,1
03,,,,,,,,,,,31-40,15
03,,,,,,,,,,,41-50,65
03,,,,,,,,,,,51-60,180
04,,,,,,,,,,,21-30,1
04,,,,,,,,,,,31-40,16
04,,,,,,,,,,,41-50,66
04,,,,,,,,,,,51-60,171
05,,,,,,,,,,,21-30,4
05,,,,,,,,,,,31-40,20
05,,,,,,,,,,,41-50,58
05,,,,,,,,,,,51-60,169
06,,,,,,,,,,,21-30,2
06,,,,,,,,,,,31-40,13
06,,,,,,,,,,,41-50,63
06,,,,,,,,,,,51-60,164
07,,,,,,,,,,,21-30,3
07,,,,,,,,,,,31-40,17
07,,,,,,,,,,,41-50,59
07,,,,,,,,,,,51-60,177
08,,,,,,,,,,,21-30,5
08,,,,,,,,,,,31-40,14
08,,,,,,,,,,,41-50,74
08,,,,,,,,,,,51-60,174
09,,,,,,,,,,,21-30,2
09,,,,,,,,,,,31-40,18
09,,,,,,,,,,,41-50,63
09,,,,,,,,,,,51-60,168
10,,,,,,,,,,,21-30,4
10,,,,,,,,,,,31-40,12
10,,,,,,,,,,,41-50,69
10,,,,,,,,,,,51-60,175
11,,,,,,,,,,,21-30,4
11,,,,,,,,,,,31-40,16
11,,,,,,,,,,,41-50,50
11,,,,,,,,,,,51-60,176
12,,,,,,,,,,,21-30,1
12,,,,,,,,,,,31-40,20
12,,,,,,,,,,,41-50,59
12,,,,,,,,,,,51-60,152
